"","station_nm","agency_cd","site_no","dec_lat_va","dec_lon_va","hucCd","OrganizationIdentifier","OrganizationFormalName","MonitoringLocationIdentifier","MonitoringLocationName","MonitoringLocationTypeName","MonitoringLocationDescriptionText","HUCEightDigitCode","DrainageAreaMeasure.MeasureValue","DrainageAreaMeasure.MeasureUnitCode","ContributingDrainageAreaMeasure.MeasureValue","ContributingDrainageAreaMeasure.MeasureUnitCode","LatitudeMeasure","LongitudeMeasure","SourceMapScaleNumeric","HorizontalAccuracyMeasure.MeasureValue","HorizontalAccuracyMeasure.MeasureUnitCode","HorizontalCollectionMethodName","HorizontalCoordinateReferenceSystemDatumName","VerticalMeasure.MeasureValue","VerticalMeasure.MeasureUnitCode","VerticalAccuracyMeasure.MeasureValue","VerticalAccuracyMeasure.MeasureUnitCode","VerticalCollectionMethodName","VerticalCoordinateReferenceSystemDatumName","CountryCode","StateCode","CountyCode","AquiferName","FormationTypeText","AquiferTypeName","ConstructionDateText","WellDepthMeasure.MeasureValue","WellDepthMeasure.MeasureUnitCode","WellHoleDepthMeasure.MeasureValue","WellHoleDepthMeasure.MeasureUnitCode","ProviderName"
"1","HATCHET CREEK BELOW ROCKFORD AL","USGS-AL","USGS-02408540",32.9167896,-86.2702507,"03150107","USGS-AL","USGS Alabama Water Science Center","USGS-02408540","HATCHET CREEK BELOW ROCKFORD AL","Stream",NA,"03150107",263,"sq mi",263,"sq mi",32.9167896,-86.2702507,NA,"Unknown","Unknown","Interpolated from MAP.","NAD83","377","feet","5","feet","Unknown.","NGVD29","US","01","037",NA,NA,NA,NA,NA,NA,NA,NA,"NWIS"
"2","HILLABEE CREEK NEAR HACKNEYVILLE AL","USGS-AL","USGS-02415000",33.0653979,-85.8780186,"03150109","USGS-AL","USGS Alabama Water Science Center","USGS-02415000","HILLABEE CREEK NEAR HACKNEYVILLE AL","Stream",NA,"03150109",190,"sq mi",190,"sq mi",33.0653979,-85.8780186,NA,"Unknown","Unknown","Interpolated from MAP.","NAD83","557.92","feet","0.01","feet","Unknown.","NGVD29","US","01","123",NA,NA,NA,NA,NA,NA,NA,NA,"NWIS"
"3","CHEWACLA CREEK AT CHEWACLA STATE PARK NR AUBURN","USGS-AL","USGS-02418760",32.5481918,-85.4805044,"03150110","USGS-AL","USGS Alabama Water Science Center","USGS-02418760","CHEWACLA CREEK AT CHEWACLA STATE PARK NR AUBURN","Stream",NA,"03150110",45.8,"sq mi",45.8,"sq mi",32.5481918,-85.4805044,NA,"1","seconds","Interpolated from MAP.","NAD83",NA,NA,NA,NA,NA,NA,"US","01","081",NA,NA,NA,NA,NA,NA,NA,NA,"NWIS"
"4","LITTLE CAHABA RIVER AT CAH BEA RD NR CAHABA HTS AL","USGS-AL","USGS-02423414",33.4398295,-86.6988758,"03150202","USGS-AL","USGS Alabama Water Science Center","USGS-02423414","LITTLE CAHABA RIVER AT CAH BEA RD NR CAHABA HTS AL","Stream",NA,"03150202",47,"sq mi",47,"sq mi",33.4398295,-86.6988758,NA,"1","seconds","Interpolated from MAP.","NAD83",NA,NA,NA,NA,NA,NA,"US","01","117",NA,NA,NA,NA,NA,NA,NA,NA,"NWIS"
"5","CAHABA VALLEY CREEK AT CROSS CR RD AT PELHAM, AL.","USGS-AL","USGS-0242354750",33.3134455,-86.8063775,"03150202","USGS-AL","USGS Alabama Water Science Center","USGS-0242354750","CAHABA VALLEY CREEK AT CROSS CR RD AT PELHAM, AL.","Stream",NA,"03150202",25.6,"sq mi",25.6,"sq mi",33.3134455,-86.8063775,NA,"1","seconds","Interpolated from MAP.","NAD83",NA,NA,NA,NA,NA,NA,"US","01","117",NA,NA,NA,NA,NA,NA,NA,NA,"NWIS"
"6","CAHABA RIVER AT CENTREVILLE AL","USGS-AL","USGS-02424000",32.9451238,-87.1391623,"03150202","USGS-AL","USGS Alabama Water Science Center","USGS-02424000","CAHABA RIVER AT CENTREVILLE AL","Stream",NA,"03150202",1027,"sq mi",1027,"sq mi",32.9451238,-87.1391623,NA,"1","seconds","Interpolated from MAP.","NAD83","180.74","feet","0.01","feet","Level or other surveyed method.","NGVD29","US","01","007",NA,NA,NA,NA,NA,NA,NA,NA,"NWIS"
"7","ALABAMA RIVER AT CLAIBORNE AL","USGS-AL","USGS-02429500",31.5468275,-87.5124908,"03150204","USGS-AL","USGS Alabama Water Science Center","USGS-02429500","ALABAMA RIVER AT CLAIBORNE AL","Stream",NA,"03150204",21967,"sq mi",NA,NA,31.5468275,-87.5124908,NA,"Unknown","Unknown","Interpolated from MAP.","NAD83","0.4","feet","0.01","feet","Unknown.","NGVD29","US","01","099",NA,NA,NA,NA,NA,NA,NA,NA,"NWIS"
"8","SIPSEY FORK NEAR GRAYSON AL","USGS-AL","USGS-02450250",34.2853776,-87.3989084,"03160110","USGS-AL","USGS Alabama Water Science Center","USGS-02450250","SIPSEY FORK NEAR GRAYSON AL","Stream",NA,"03160110",92.1,"sq mi",92.1,"sq mi",34.2853776,-87.3989084,NA,"Unknown","Unknown","Interpolated from MAP.","NAD83","540","feet","0.01","feet","Unknown.","NGVD29","US","01","133",NA,NA,NA,NA,NA,NA,NA,NA,"NWIS"
"9","BLACKBURN FORK LITTLE WARRIOR R NR HOLLY SPRINGS","USGS-AL","USGS-02455185",33.8606544,-86.4458178,"03160111","USGS-AL","USGS Alabama Water Science Center","USGS-02455185","BLACKBURN FORK LITTLE WARRIOR R NR HOLLY SPRINGS","Stream",NA,"03160111",36.1,"sq mi",36.1,"sq mi",33.8606544,-86.4458178,24000,"Unknown","Unknown","Interpolated from MAP.","NAD83",NA,NA,NA,NA,NA,NA,"US","01","009",NA,NA,NA,NA,NA,NA,NA,NA,"NWIS"
"10","TOMBIGBEE R BL COFFEEVILLE L&D NEAR COFFEEVILLE","USGS-AL","USGS-02469762",31.7571018,-88.1250095,"03160201","USGS-AL","USGS Alabama Water Science Center","USGS-02469762","TOMBIGBEE R BL COFFEEVILLE L&D NEAR COFFEEVILLE","Stream",NA,"03160201",18417,"sq mi",18417,"sq mi",31.7571018,-88.1250095,NA,"1","seconds","Interpolated from MAP.","NAD83","0","feet","0.1","feet","Level or other surveyed method.","NGVD29","US","01","023",NA,NA,NA,NA,NA,NA,NA,NA,"NWIS"
"11","MOBILE RIVER AT MT VERNON AL","USGS-AL","USGS-02470500",31.0865664,-87.9772203,"03160204","USGS-AL","USGS Alabama Water Science Center","USGS-02470500","MOBILE RIVER AT MT VERNON AL","Stream",NA,"03160204",42867,"sq mi",NA,NA,31.0865664,-87.9772203,NA,"Unknown","Unknown","Interpolated from MAP.","NAD83",NA,NA,NA,NA,NA,NA,"US","01","097",NA,NA,NA,NA,NA,NA,NA,NA,"NWIS"
"12","HESTER CREEK AT BUDDY WILLIAMSON RD NR PLEVNA, AL","USGS-AL","USGS-0357479650",34.9609213,-86.4636024,"06030002","USGS-AL","USGS Alabama Water Science Center","USGS-0357479650","HESTER CREEK AT BUDDY WILLIAMSON RD NR PLEVNA, AL","Stream",NA,"06030002",33,"sq mi",33,"sq mi",34.9609213,-86.4636024,24000,"1","seconds","Interpolated from MAP.","NAD83","756.34","feet","0.01","feet","Level or other surveyed method.","NGVD29","US","01","089",NA,NA,NA,NA,NA,NA,NA,NA,"NWIS"
"13","FLINT RIVER AT BROWNSBORO, AL.","USGS-AL","USGS-03575100",34.7492568,-86.4466551,"06030002","USGS-AL","USGS Alabama Water Science Center","USGS-03575100","FLINT RIVER AT BROWNSBORO, AL.","Stream",NA,"06030002",375,"sq mi",375,"sq mi",34.7492568,-86.4466551,NA,"1","seconds","Interpolated from MAP.","NAD83","615.92","feet","0.01","feet","Level or other surveyed method.","NGVD29","US","01","089",NA,NA,NA,NA,NA,NA,NA,NA,"NWIS"
"14","COOSA RIVER AT STATE LINE, AL/GA","USGS-GA","USGS-02397530",34.2017612,-85.447458,"03150105","USGS-GA","USGS Georgia Water Science Center","USGS-02397530","COOSA RIVER AT STATE LINE, AL/GA","Stream",NA,"03150105",4362,"sq mi",4362,"sq mi",34.2017612,-85.447458,NA,"1","seconds","Interpolated from MAP.","NAD83","549.5","feet","0.1","feet","Interpolated from topographic map.","NAVD88","US","01","019",NA,NA,NA,NA,NA,NA,NA,NA,"NWIS"
"15","Billy's Ford Little River","11NPSWRD_WQX","11NPSWRD_WQX-LIRI_BFLR",34.42261,-85.59533,"03150105","11NPSWRD_WQX","National Park Service Water Resources Division","11NPSWRD_WQX-LIRI_BFLR","Billy's Ford Little River","River/Stream",NA,"03150105",NA,NA,NA,NA,34.42261,-85.59533,NA,NA,NA,"Interpolation-Digital Map Source","NAD83",NA,NA,NA,NA,NA,NA,"US","01","019",NA,NA,NA,NA,NA,NA,NA,NA,"STORET"
