Full,SIR ,WQX,State,Type
Alabama Department of Environmental Management,AL DEM,21AWIC,Alabama,State
Arizona Department of Environmental Quality,AZ DEQ,21ARIZ_WQX,Arizona,State
Arizona Southwest Watershed Research Center,AZ SWRC,AZDEQ_SW,Arizona,Federal
AK-Chin Indian Community,AZ TAKIC,AK-CHIN_WQX,Arizona,Tribe
Cocopah Indian Tribe Environmental Protection Office,AZ TCOCOPAH,COCOPAH_INDIAN,Arizona,Tribe
Salt River Pima-Maricopa Indian Community,AZ TSRPMIC,SRPMIC  ,Arizona,Tribe
Fort McDowell Yavapai Nation,AZ TFMYN,FMYN_WQX,Arizona,Tribe
Yavapai-Apache Nation,AZ TYAN,YAN_WQX ,Arizona,Tribe
Cocopah Indian Tribe Environmental Protection Office,AZ TCOCOPAH,COCOPAH_INDIAN,Arizona,Tribe
Arkansas Department of Environmental Quality,AR DEQ,ARDEQH2O_WQX,Arkansas,State
Arkansas State University Ecotoxicology Research Facility,AR ASUERF,ASUERF,Arkansas,Academic
Equilibrium,AR EQUIL,EQUILIBRIUM,Arkansas,Private
GBMc and Associates,AR GBMC,GBMCASSOC2014,Arkansas,Private
Arkansas Water Resource Center,AR AWRC,AWRC,Arkansas,NA
California State Water Resources Control Board,CA CEDEN,CEDEN,California,State
"Quechan Tribe of the Fort Yuma Indian Reservation, California & Arizona",CA TQI,QUECHAN_WQX ,California,Tribe
Blue Lake Rancheria,CA TBLR,BLR,California,Tribe
Blue Lake Rancheria,CA TBLR,BLR_WQX,California,Tribe
"Big Valley Band of Pomo Indians of the Big Valley Rancheria, California",CA BVR,CA_BVR,California,Tribe
Elk Valley Rancheria,CA TEVR,ELKVALLEYCA_WQX,California,Tribe
Hopland Band of Pomo Indians Tribal Environmental Protection Agency,CA THBPI,HOPTERA_WQX,California,Tribe
Morongo Band of Mission Indians,CA TMBMI,MORONGO1_WQX,California,Tribe
Owens Valley Indian Water Commission,CA TOVIWC,OVIWC,California,Tribe
Pit River Tribe,CA TPR,PRTWQX,California,Tribe
Quartz Valley Indian Reservation,CA TQVIR,QVIR,California,Tribe
Quartz Valley Indian Reservation,CA TQVIR,QVIR_WQX,California,Tribe
Resighini Rancheria Environmental Protection,CA RREP,RREPA_WQX,California,Tribe
San Manuel Band of Mission Indians,CA TSMBMI,SANMANUEL,California,Tribe
Santa Ynez Chumash Environmental Office,CA TSYCEO,SYCEO_WQX,California,Tribe
Table Mountain Rancheria,CA TTMR,TABLEMOUNTAINRANCHERIA_WQX,California,Tribe
Twenty-Nine Palms,CA T29P,TEPA29,California,Tribe
Tuolumne Band of Me-Wuk Indians of the Tuolumne Rancheria of California,CA TMTC,TMTC_WQX,California,Tribe
"Cher-Ae Heights Indian Community of the Trinidad Rancheria, California",CA TR,TRINIDADRANCHERIAEPA,California,Tribe
Adams Rib Ranch,CO ARR,ARR,Colorado,Volunteer
Animas River Stakeholders Group,CO ARSG,ANIMASWP,Colorado,NGO
Coal Creek Watershed Coalition,CO CCWC,CCWC,Colorado,NGO
Colorado Department of Public Health and Environment,CO DPHE,21COL001_WQX,Colorado,State
"Colorado Division of Reclamation, Mining and Safety",CO DRMS,DRMS,Colorado,State
San Miguel Watershed Coalition,CO SMWC,SMWC,Colorado,NGO
Southern Ute Tribe,CO TSU,SOUTHUTE,Colorado,Tribe
Standley Lake Watershed Group,CO STAND,STANDLEY,Colorado,NGO
Ute Mountain Utes Tribe,CO TUMU,UTEMTN,Colorado,Tribe
Uncompahgre Watershed Partnership,CO UWP,UWP,Colorado,NGO
Delaware Department of Natural Resources and Environmental Control,DE DNREC,21DELAWQ_WQX,Delaware,State
Delaware River Basin Commission,RG4 DRBC,31DELRBC_WQX,Delaware,Regional
Chesapeake Bay Program,MD CBP,CBP_WQX,Maryland,Regional
Alachua County Environmental Protection Department,FL ACEPD,21FLACEP_WQX,Florida,County or subcounty
Avon Park Air Force Range,FL APAFR,21FLAVON_WQX,Florida,Federal
Broward County Environmental Protection Department,FL BCEPD,21FLBROW_WQX,Florida,County or subcounty
Charlotte County,FL CC,21FLCCSW_WQX,Florida,County or subcounty
City of Cape Coral,FL CCC,CAPECRD_WQX,Florida,County or subcounty
Collier County Pollution Control,FL CCPC,21FLCOLL_WQX,Florida,County or subcounty
City of Deltona,FL CD,21FLDELT_WQX,Florida,County or subcounty
City of Jacksonville,FL CJ,21FLJXWQ_WQX,Florida,County or subcounty
City of St Petersburg,FL CSP,21FLCOSP_WQX,Florida,County or subcounty
City of Tallahassee Stormwater,FL CTS,21FLCOT_WQX,Florida,County or subcounty
Florida Department of Environmental Protection,FL DEP,21FLGW_WQX,Florida,State
"Florida Department of Environmental Protection , Bream Fisherman Asso",FL DEP BFA,21FLBFA_WQX,Florida,State
"Florida Department Environmental Protection, Central District",FL DEP CD,21FLCEN_WQX,Florida,State
"Florida Department of Environmental Protection, Northeast District",FL DEP NED,21FLA_WQX,Florida,State
